City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
8,Busselton,AU,82.0,clear sky,-33.65,115.3333,Observatory Guest House
12,Hambantota,LK,84.2,clear sky,6.1241,81.1185,Bungalow 63
27,Kavieng,PG,82.35,light rain,-2.5744,150.7967,Nusa Island Retreat
31,Kudahuvadhoo,MV,83.95,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
43,Hobyo,SO,84.13,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
46,Atuona,PF,80.13,broken clouds,-9.8,-139.0333,Villa Enata
48,Yulara,AU,86.0,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
54,Butaritari,KI,82.33,light rain,3.0707,172.7902,Isles Sunset Lodge
71,Souillac,MU,82.4,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
73,Bambous Virieux,MU,84.99,scattered clouds,-20.3428,57.7575,Casa Tia Villa
74,Eyl,SO,82.54,overcast clouds,7.9803,49.8164,Amiin Hotel
84,Georgetown,MY,89.01,scattered clouds,5.4112,100.3354,Cititel Penang
92,Sompeta,IN,87.1,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
93,Along,IN,89.42,broken clouds,28.1667,94.7667,Hotel West
99,Bengkulu,ID,85.24,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
103,Carnarvon,AU,86.0,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
105,Sibolga,ID,85.41,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
106,Lorengau,PG,82.89,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
109,Sorong,ID,84.65,broken clouds,-0.8833,131.25,The Waigo Hotel
110,Labuhan,ID,86.77,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
112,Port-Gentil,GA,81.39,overcast clouds,-0.7193,8.7815,Fengshui Residence
126,Anloga,GH,82.4,scattered clouds,5.7947,0.8973,Pin Drop Hotel
130,Hithadhoo,MV,83.44,broken clouds,-0.6,73.0833,Scoop Guest House
133,Sabang,ID,83.1,overcast clouds,5.8933,95.3214,Hotel Citra
135,Sola,VU,80.51,overcast clouds,-13.8833,167.55,Leumerus Bungalows
144,Sakhon Nakhon,TH,84.2,clear sky,17.1612,104.1472,บริษัท สกลแกรนด์พาเลซ จำกัด
147,Mahebourg,MU,82.4,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
149,Kamalpur,IN,84.2,haze,24.2,91.8333,Sagar Guest House. সাগর গেস্ট হাউস
150,Veraval,IN,85.37,clear sky,20.9,70.3667,Lords Inn Somnath
169,Miri,MY,82.4,light rain,4.4148,114.0089,"Mega Hotel, Miri"
171,Isangel,VU,82.4,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
176,Daru,PG,81.19,overcast clouds,-9.0763,143.2092,Daru Lodge
180,San Pedro,PH,89.6,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
