City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kobryn,BY,2021-04-05 04:50:33,52.2138,24.3564,32.0,86,0,8.95,clear sky
1,Hermanus,ZA,2021-04-05 04:50:33,-34.4187,19.2345,63.0,91,99,4.0,overcast clouds
2,Mananjary,MG,2021-04-05 04:50:33,-21.2167,48.3333,78.21,81,13,6.58,light rain
3,Yellowknife,CA,2021-04-05 04:47:57,62.456,-114.3525,12.2,62,75,6.91,broken clouds
4,Mwaya,TZ,2021-04-05 04:50:33,-9.55,33.95,73.72,83,84,0.31,light rain
5,Port Lincoln,AU,2021-04-05 04:50:34,-34.7333,135.8667,69.75,60,0,10.13,clear sky
6,Avarua,CK,2021-04-05 04:48:23,-21.2078,-159.775,80.6,89,75,5.75,light rain
7,Kahului,US,2021-04-05 04:50:34,20.8947,-156.47,71.6,83,40,17.27,scattered clouds
8,Busselton,AU,2021-04-05 04:50:34,-33.65,115.3333,82.0,55,2,1.99,clear sky
9,New Norfolk,AU,2021-04-05 04:50:34,-42.7826,147.0587,70.0,45,53,4.0,broken clouds
10,Rikitea,PF,2021-04-05 04:50:35,-23.1203,-134.9692,78.21,63,31,18.54,scattered clouds
11,San Vicente,AR,2021-04-05 04:50:35,-26.6167,-54.1333,64.29,81,85,3.0,overcast clouds
12,Hambantota,LK,2021-04-05 04:50:35,6.1241,81.1185,84.2,79,0,9.22,clear sky
13,Qaanaaq,GL,2021-04-05 04:50:35,77.484,-69.3632,-9.72,53,15,10.16,few clouds
14,Hilo,US,2021-04-05 04:50:36,19.7297,-155.09,71.6,83,90,10.36,heavy intensity rain
15,Porto Novo,BJ,2021-04-05 04:50:36,6.4965,2.6036,79.79,86,20,5.77,few clouds
16,Ancud,CL,2021-04-05 04:50:36,-41.8697,-73.8203,55.99,91,100,11.01,overcast clouds
17,Surt,LY,2021-04-05 04:50:36,31.2089,16.5887,70.12,25,51,8.57,broken clouds
18,Mataura,NZ,2021-04-05 04:50:37,-46.1927,168.8643,55.99,62,100,23.0,overcast clouds
19,Rio Bueno,CL,2021-04-05 04:50:37,-40.3167,-72.9667,53.6,82,0,10.36,clear sky
20,Henties Bay,NA,2021-04-05 04:50:37,-22.116,14.2845,67.48,78,32,5.61,scattered clouds
21,Saldanha,ZA,2021-04-05 04:50:37,-33.0117,17.9442,60.8,88,9,10.94,clear sky
22,Barrow,US,2021-04-05 04:50:38,71.2906,-156.7887,-2.2,65,1,10.36,clear sky
23,Itoman,JP,2021-04-05 04:50:38,26.1247,127.6694,75.2,60,20,24.16,few clouds
24,Flinders,AU,2021-04-05 04:50:38,-34.5833,150.8552,75.99,78,75,13.8,broken clouds
